dataset,rep,pair,rho_eqsig,rho_eqdam,delta
OpenADMET-Caco2_Efflux,ECFP4,hetero|outlier,0.1398601398601399,0.41958041958041964,0.27972027972027974
OpenADMET-Caco2_Efflux,ECFP4,hetero|quantile,-0.14685314685314685,0.8041958041958043,0.9510489510489512
OpenADMET-Caco2_Efflux,ECFP4,hetero|threshold,0.17482517482517487,0.8951048951048951,0.7202797202797202
OpenADMET-Caco2_Efflux,ECFP4,hetero|valprop,-0.2027972027972028,0.9790209790209792,1.181818181818182
OpenADMET-Caco2_Efflux,ECFP4,legacy|outlier,0.23076923076923078,0.6503496503496504,0.41958041958041964
OpenADMET-Caco2_Efflux,ECFP4,legacy|quantile,0.6153846153846154,0.7342657342657343,0.11888111888111885
OpenADMET-Caco2_Efflux,ECFP4,legacy|threshold,0.5734265734265735,0.5804195804195805,0.006993006993006978
OpenADMET-Caco2_Efflux,ECFP4,legacy|valprop,0.965034965034965,0.6433566433566434,-0.32167832167832155
OpenADMET-Caco2_Efflux,ECFP4,outlier|quantile,0.7692307692307694,0.7762237762237763,0.006993006993006867
OpenADMET-Caco2_Efflux,ECFP4,outlier|threshold,0.8811188811188813,0.6013986013986015,-0.2797202797202798
OpenADMET-Caco2_Efflux,ECFP4,outlier|valprop,0.2867132867132868,0.37762237762237766,0.09090909090909088
OpenADMET-Caco2_Efflux,ECFP4,quantile|threshold,0.8881118881118882,0.8531468531468532,-0.034965034965035
OpenADMET-Caco2_Efflux,ECFP4,quantile|valprop,0.7132867132867133,0.7342657342657343,0.020979020979020935
OpenADMET-Caco2_Efflux,ECFP4,threshold|valprop,0.5944055944055945,0.9020979020979022,0.3076923076923077
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,hetero|legacy,0.8111888111888113,0.9580419580419581,0.14685314685314688
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,hetero|outlier,0.9440559440559443,0.9230769230769231,-0.020979020979021157
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,hetero|quantile,0.8616475560561659,0.9230769230769231,0.061429367020757186
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,hetero|threshold,0.9090909090909092,0.9090909090909092,0.0
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,hetero|valprop,0.7915949092223313,0.9160839160839163,0.12448900686158493
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,legacy|outlier,0.8671328671328673,0.9090909090909092,0.04195804195804187
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,legacy|quantile,0.9246949382066171,0.8671328671328673,-0.057562071073749776
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,legacy|threshold,0.9020979020979022,0.9370629370629372,0.034965034965035
