dataset,rep,strategy,sigma,mean_r2,between_sd,range,within_sd,snr,F
OpenADMET-Caco2_Efflux,SNS,valprop,1.0,-0.2374649655622435,0.4917404300966018,1.461208325511619,0.31515816308465705,1.5602972973430855,12.172638280480685
OpenADMET-LogD,ECFP4,hetero,0.0,0.5970636776148014,0.12314131290857248,0.4176754295860491,0.07419549489442838,1.6596871964232915,13.772807949857029
OpenADMET-LogD,ECFP4,hetero,0.1,0.5729995394118762,0.15900857948357222,0.5343211069907412,0.08200005232549992,1.939127780704167,18.80108274949334
OpenADMET-LogD,ECFP4,hetero,0.2,0.5742673307048923,0.1483742585279862,0.4429298280382902,0.08811604963279059,1.6838505487514699,14.176763352653133
OpenADMET-LogD,ECFP4,hetero,0.3,0.5676382627762494,0.18096133567543995,0.6098489137009309,0.05460740961273483,3.31386046250468,54.90835582475866
OpenADMET-LogD,ECFP4,hetero,0.4,0.5728108393505406,0.1636505287946076,0.5508693893446238,0.08124524813047387,2.014278158542847,20.28658249991381
OpenADMET-LogD,ECFP4,hetero,0.5,0.5670106329298367,0.14935379871870402,0.47647765048227225,0.07176245022161161,2.0812249060264865,21.657485547324782
OpenADMET-LogD,ECFP4,hetero,0.6,0.578325847697667,0.13830175175417583,0.4432814512760529,0.06582168645574826,2.1011578280838448,22.074321092590097
OpenADMET-LogD,ECFP4,hetero,0.7,0.562608320336352,0.1529468049607792,0.5094528472716954,0.07818296515827372,1.9562676428446202,19.13491545220423
OpenADMET-LogD,ECFP4,hetero,0.8,0.5541090014061909,0.15729157894113519,0.4827680522506771,0.07031546017843025,2.2369416134374593,25.019538909640914
OpenADMET-LogD,ECFP4,hetero,0.9,0.5515879941424271,0.15549939331389573,0.4890591689827133,0.073842159569474,2.1058348539711242,22.17270216099793
OpenADMET-LogD,ECFP4,hetero,1.0,0.5677018785615571,0.12131170712614327,0.41077532056140276,0.07249514308448834,1.6733770286481455,14.000953400036481
OpenADMET-LogD,ECFP4,legacy,0.0,0.58495957907742,0.13831295927021237,0.4148679090188907,0.08653135137843755,1.5984144135841856,12.774643187768378
OpenADMET-LogD,ECFP4,legacy,0.1,0.5691784082265704,0.16656239682625879,0.5610312789155373,0.07188574885220748,2.3170433567952453,26.843449586344892
OpenADMET-LogD,ECFP4,legacy,0.2,0.5739428907753686,0.14403218127201303,0.45471791673395073,0.06515636704605726,2.2105618806248146,24.432919140357583
OpenADMET-LogD,ECFP4,legacy,0.3,0.5562803511994691,0.1777742643529674,0.6131585632146447,0.04721162872690644,3.765476200393227,70.89405507863907
OpenADMET-LogD,ECFP4,legacy,0.4,0.559889103252084,0.14309998457970644,0.45780117712518353,0.05551706241662251,2.5775856709749196,33.219739456076134
