dataset,rep,strategy,sigma,rho_vs_clean,snr_drop,mean_drop
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.8,0.8111888111888113,0.5828385596246565,0.08620497272252148
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.9,0.9020979020979022,0.6732003845976203,0.2196912408802475
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,1.0,0.9300699300699302,0.423148604242701,0.21030283139887626
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.0,1.0,,0.0
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.1,0.9580419580419581,0.37667939093650377,-0.046387518323231854
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.2,0.965034965034965,0.25034406326409375,-0.017637112592546685
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.3,0.9580419580419581,0.3328350576971823,-0.08903830857931261
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.4,0.965034965034965,0.4212785093031538,-0.03961724988887461
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.5,0.9510489510489512,0.6086330512653709,0.053416317157808126
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.6,0.9580419580419581,0.4526760416180389,-0.005611386629356444
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.7,0.9720279720279721,0.4172435988234693,0.06322937971664654
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.8,0.9510489510489512,0.45463274379292345,0.08564188230453344
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,0.9,0.9020979020979022,0.4098490023116459,0.06365767142310427
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,1.0,0.7132867132867133,0.501489303510204,0.10739559687012164
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.0,1.0,,0.0
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.1,0.9230769230769231,0.6810944166069864,0.02085908090424968
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.2,0.965034965034965,0.49824851319720265,0.06309784727861367
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.3,0.9230769230769231,0.34018924919216403,0.04086243831586176
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.4,0.9300699300699302,0.4549318963800972,0.13329689403184233
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.5,0.9230769230769231,0.595644477100223,0.1032487201612522
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.6,0.9510489510489512,0.4830379912208924,0.07804350589007424
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.7,0.9160839160839163,0.3823234012428282,0.11053182288947487
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.8,0.7902097902097903,0.7725413297742938,0.1463617286718795
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,0.9,0.9020979020979022,0.7167878785477902,0.17344725334618058
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,1.0,0.6853146853146854,0.5020604891764119,0.21992008304457591
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.0,1.0,,0.0
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.1,0.9510489510489512,0.3582488381849434,0.026751840035806846
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.2,0.9790209790209792,0.17971135350436496,0.0037368907694912625
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.3,0.9020979020979022,0.33024286817675724,0.08379876267462971
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.4,0.9300699300699302,0.15182424572127387,0.1374968909831729
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.5,0.9300699300699302,0.5084399510041201,0.24223133485624915
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.6,0.7692307692307694,0.5493444823965101,0.2044303113929827
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.7,0.6993006993006995,0.7145766896303332,0.27198120603736226
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.8,0.7062937062937064,0.6134984774678035,0.4191906212734077
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,0.9,0.3846153846153847,1.0203769517890973,0.4480157479704348
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,1.0,0.4685314685314686,0.8068020457029028,0.5385023942396888
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.0,1.0,,0.0
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.1,0.9440559440559443,0.7914932456694806,0.1656332706257079
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.2,0.9440559440559443,0.32198548327252907,0.11376692729770484
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.3,0.8881118881118882,0.3445394854386405,0.1746423444838152
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.4,0.8461538461538463,0.674743795378372,0.27407948870889914
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.5,0.9370629370629372,0.3989170388683053,0.295598378164805
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.6,0.7622377622377624,0.4485910494945481,0.22979797773817465
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.7,0.8251748251748254,0.3486503504814509,0.2838380456829949
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.8,0.6783216783216784,1.3842930668589364,0.38448518160261846
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.9,0.7342657342657343,0.6038918876445829,0.42252142293939965
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,1.0,0.4825174825174825,0.7758971100391833,0.4345861183755544
ChEMBL-hERG-Ki,PDV,hetero,0.0,1.0,,0.0
ChEMBL-hERG-Ki,PDV,hetero,0.1,0.9560439560439561,0.5567382066182065,0.026038542579985648
ChEMBL-hERG-Ki,PDV,hetero,0.2,0.8846153846153846,0.4340587489815405,0.11562202002572987
ChEMBL-hERG-Ki,PDV,hetero,0.3,0.9395604395604396,0.3618691067471651,0.03275053468043346
ChEMBL-hERG-Ki,PDV,hetero,0.4,0.945054945054945,0.3498203829751747,0.07458068733883855
ChEMBL-hERG-Ki,PDV,hetero,0.5,0.901098901098901,0.4890057946773548,0.05543640886050662
ChEMBL-hERG-Ki,PDV,hetero,0.6,0.9835164835164836,0.4296020998373052,0.061324104592961344
ChEMBL-hERG-Ki,PDV,hetero,0.7,0.9120879120879121,0.3093693285855091,0.12044790799569215
ChEMBL-hERG-Ki,PDV,hetero,0.8,0.8571428571428571,0.529606190157458,0.09448379377370977
ChEMBL-hERG-Ki,PDV,hetero,0.9,0.9175824175824175,0.4525979707611241,0.14792871263680857
ChEMBL-hERG-Ki,PDV,hetero,1.0,0.7857142857142857,0.47208507639680175,0.11555607060279965
ChEMBL-hERG-Ki,PDV,legacy,0.0,1.0,,0.0
ChEMBL-hERG-Ki,PDV,legacy,0.1,0.9725274725274725,0.17415578009501786,-0.022807253703999494
ChEMBL-hERG-Ki,PDV,legacy,0.2,0.9285714285714285,0.44532317633260404,-0.011961910805995863
ChEMBL-hERG-Ki,PDV,legacy,0.3,0.901098901098901,0.5763798024087136,-0.014151740382718499
ChEMBL-hERG-Ki,PDV,legacy,0.4,0.9285714285714285,0.48581423603664387,-0.0423446199492034
ChEMBL-hERG-Ki,PDV,legacy,0.5,0.9340659340659341,0.39786958975852316,-0.029478372587075734
ChEMBL-hERG-Ki,PDV,legacy,0.6,0.9835164835164836,0.25809081851952576,0.01298749270467292
ChEMBL-hERG-Ki,PDV,legacy,0.7,0.8736263736263737,0.3760949513627355,0.06951804135619934
ChEMBL-hERG-Ki,PDV,legacy,0.8,0.8076923076923077,0.5988143581949148,0.02094668563799571
ChEMBL-hERG-Ki,PDV,legacy,0.9,0.8791208791208791,0.6630803601999258,0.04807161880406721
ChEMBL-hERG-Ki,PDV,legacy,1.0,0.8956043956043955,0.5557600068797092,0.06618378025166018
ChEMBL-hERG-Ki,PDV,outlier,0.0,1.0,,0.0
ChEMBL-hERG-Ki,PDV,outlier,0.1,0.9120879120879121,0.2924501128766655,0.0518644282343232
ChEMBL-hERG-Ki,PDV,outlier,0.2,0.8681318681318682,0.5223299872349497,0.05138298983471898
ChEMBL-hERG-Ki,PDV,outlier,0.3,0.901098901098901,0.5517914560115608,0.06597382751604526
ChEMBL-hERG-Ki,PDV,outlier,0.4,0.9395604395604396,0.3641005729159338,0.07801000929391758
ChEMBL-hERG-Ki,PDV,outlier,0.5,0.945054945054945,0.44856148791545575,0.09695856765085754
ChEMBL-hERG-Ki,PDV,outlier,0.6,0.9175824175824175,0.5034419162251241,0.09666736489400121
ChEMBL-hERG-Ki,PDV,outlier,0.7,0.8296703296703297,0.4335751113440111,0.10938043077000906
ChEMBL-hERG-Ki,PDV,outlier,0.8,0.8516483516483516,0.5563594231778027,0.1816597785846484
ChEMBL-hERG-Ki,PDV,outlier,0.9,0.7582417582417583,0.3954729080751752,0.10144207488538837
