dataset,rep,strategy,model,fold,clean,r2_06,ret_06,auc_norm
OpenADMET-LogD,ECFP4,threshold,RF,3,0.6952764220636529,0.5600025444678205,0.8054387099819588,0.8452083524832144
OpenADMET-LogD,ECFP4,threshold,RF,4,0.6806781751155915,0.5231271727185635,0.7685381900627665,0.791190681870833
OpenADMET-LogD,ECFP4,threshold,SVM,0,0.6049326966070834,0.5054511878871748,0.8355494598359858,0.8737232776104765
OpenADMET-LogD,ECFP4,threshold,SVM,1,0.5284597569754139,0.4220325387264808,0.7986086606517427,0.8256407279539698
OpenADMET-LogD,ECFP4,threshold,SVM,2,0.5834512084201818,0.4686271905671323,0.8031985945080824,0.8446451255086496
OpenADMET-LogD,ECFP4,threshold,SVM,3,0.612468572401377,0.5238653040140289,0.8553341797768481,0.863100539375673
OpenADMET-LogD,ECFP4,threshold,SVM,4,0.6405199099874692,0.51990514091753,0.8116923967713996,0.8383667340061769
OpenADMET-LogD,ECFP4,threshold,VBLL-Full,0,0.2675730912994238,0.1444704073081062,0.5399287596765053,0.6305175315813707
OpenADMET-LogD,ECFP4,threshold,VBLL-Full,1,0.3083768899100726,0.1177650023883376,0.38188660123876234,0.5471899867861294
OpenADMET-LogD,ECFP4,threshold,VBLL-Full,2,0.3177495483873072,0.1930704549474079,0.6076183457295522,0.534538971265029
OpenADMET-LogD,ECFP4,threshold,VBLL-Full,3,0.3907876185548193,0.1215626985603849,0.31107100836494955,0.488506097495453
OpenADMET-LogD,ECFP4,threshold,VBLL-Full,4,0.3900479547647584,0.1455619842723593,0.37318996932094955,0.46192403062009324
OpenADMET-LogD,ECFP4,threshold,XGBoost,0,0.7409112555399784,0.5924696666178263,0.7996499745249958,0.806451103210764
OpenADMET-LogD,ECFP4,threshold,XGBoost,1,0.6754122627190915,0.4572775474525016,0.6770347130085886,0.7204880762218371
OpenADMET-LogD,ECFP4,threshold,XGBoost,2,0.7084226480797459,0.5542823000694687,0.7824175322061049,0.7896573082440137
OpenADMET-LogD,ECFP4,threshold,XGBoost,3,0.6908086102294516,0.4960147324263547,0.7180204836497387,0.7266150772766392
OpenADMET-LogD,ECFP4,threshold,XGBoost,4,0.7009212510133301,0.473067736888885,0.6749228051010943,0.7350325688431426
OpenADMET-LogD,ECFP4,valprop,BNN-Full,1,0.2649250554066045,0.0090258339141189,0.03406938577503036,0.11890957378613588
OpenADMET-LogD,ECFP4,valprop,BNN-Full,3,0.5839354205170064,0.0235647746142918,0.04035510398295064,0.261880570641994
OpenADMET-LogD,ECFP4,valprop,DNN,0,0.7211380504006526,0.5297860932774714,0.7346528074383689,0.8213944905494651
OpenADMET-LogD,ECFP4,valprop,DNN,1,0.6659780302580801,0.5701758012975033,0.8561480640383116,0.8658680990028451
OpenADMET-LogD,ECFP4,valprop,DNN,2,0.7094484527354679,0.566022447829059,0.7978344947354644,0.8198718749394306
OpenADMET-LogD,ECFP4,valprop,DNN,3,0.72501446587074,0.5941447233203737,0.8194936119058092,0.8547329461487247
OpenADMET-LogD,ECFP4,valprop,DNN,4,0.706649625168056,0.5773631166369105,0.8170429815194504,0.8594808276242206
OpenADMET-LogD,ECFP4,valprop,LightGBM,0,0.7381907325134421,0.7067103055832764,0.957354616437707,0.9398708367793637
OpenADMET-LogD,ECFP4,valprop,LightGBM,1,0.6947379280952081,0.6584901865550221,0.9478253020681224,0.9215825020466781
OpenADMET-LogD,ECFP4,valprop,LightGBM,2,0.7191240520599975,0.6430058064411639,0.8941514396566408,0.91646067729786
OpenADMET-LogD,ECFP4,valprop,LightGBM,3,0.7044073835575457,0.6515706832666222,0.9249912741912548,0.9240889992249488
