dataset,rep,strategy,sigma,W,meanSpear,snr_clip,mean_r2c
ChEMBL-hERG-Ki,ECFP4,threshold,0.8,0.7437762237762238,0.6797202797202797,2.1279564087212948,-0.06245186658554605
ChEMBL-hERG-Ki,ECFP4,threshold,0.9,0.8646153846153846,0.8307692307692308,2.4837224069436274,-0.17211175694865238
ChEMBL-hERG-Ki,ECFP4,threshold,1.0,0.8830769230769231,0.853846153846154,3.074125198236742,-0.17076385653225065
ChEMBL-hERG-Ki,ECFP4,valprop,0.0,0.49594405594405594,0.36993006993006994,1.8821008069415845,0.4108068763711214
ChEMBL-hERG-Ki,ECFP4,valprop,0.1,0.5804195804195804,0.4755244755244756,1.2581295790068563,0.31795745118483926
ChEMBL-hERG-Ki,ECFP4,valprop,0.2,0.5871328671328672,0.4839160839160838,1.2333650226674016,0.28736633339151435
ChEMBL-hERG-Ki,ECFP4,valprop,0.3,0.566993006993007,0.45874125874125876,1.0893939615291333,0.25966004344836086
ChEMBL-hERG-Ki,ECFP4,valprop,0.4,0.6788811188811189,0.5986013986013987,1.0463601807998484,0.19750533119997324
ChEMBL-hERG-Ki,ECFP4,valprop,0.5,0.5714685314685315,0.4643356643356644,1.2410665721098417,0.1926863782256997
ChEMBL-hERG-Ki,ECFP4,valprop,0.6,0.5916083916083916,0.4895104895104896,1.179469832128252,0.17187415307294276
ChEMBL-hERG-Ki,ECFP4,valprop,0.7,0.7745454545454545,0.7181818181818184,1.546814610976949,0.12690850358329317
ChEMBL-hERG-Ki,ECFP4,valprop,0.8,0.7527272727272727,0.690909090909091,1.5012417574563433,0.04669994608872828
ChEMBL-hERG-Ki,ECFP4,valprop,0.9,0.8802797202797202,0.8503496503496504,2.0261344595206965,-0.0027089113490815294
ChEMBL-hERG-Ki,ECFP4,valprop,1.0,0.793006993006993,0.7412587412587415,2.1952097088243723,0.014547256474549068
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.0,0.8064335664335665,0.7580419580419582,1.1490245683175457,0.2789051819075593
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.1,0.76,0.7000000000000001,1.0674391368324,0.2335659160959034
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.2,0.7281118881118881,0.6601398601398604,1.4357895167003731,0.23632031323392552
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.3,0.7958041958041958,0.7447552447552449,0.9780766145681082,0.27467554330046756
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.4,0.8036363636363636,0.7545454545454546,1.1297758696885118,0.19333271217715453
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.5,0.8013986013986014,0.7517482517482519,1.4205054656818898,0.1968236868652138
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.6,0.7594405594405594,0.6993006993006994,1.2073891915917505,0.177236223595896
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.7,0.8097902097902098,0.7622377622377623,1.3784324879411176,0.2033417953981064
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.8,0.773986013986014,0.7174825174825176,0.9019650944550244,0.21490758502068155
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.9,0.6162237762237762,0.5202797202797205,0.8114707095450938,0.1917777117634009
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,1.0,0.7521678321678321,0.6902097902097902,1.0049989714721923,0.16889911626368168
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.0,0.7264335664335664,0.6580419580419581,1.0921309591076893,0.23098578518386226
