Strategy,Analysis,Type,Within,eta2,F,p,n
Heteroscedastic,Performance,Rep effect,lgb,92.46777117641017,115.74780928682286,1.5369800610309918e-34,74
Heteroscedastic,Performance,Rep effect,mlp,65.54135077728822,17.661698033611533,6.846137336428999e-13,73
Heteroscedastic,Performance,Rep effect,mlp_bnn_full,99.78442820703283,4562.699740149954,2.4163384408644956e-89,77
Heteroscedastic,Performance,Rep effect,mlp_vbll,99.36719514471919,1256.212803242477,7.740788512048079e-43,46
Heteroscedastic,Performance,Rep effect,ngboost,98.11703972645336,538.4479382901033,1.685464363729164e-51,69
Heteroscedastic,Performance,Rep effect,qrf,95.03032359209394,198.86915852016463,1.2646000122023454e-32,58
Heteroscedastic,Performance,Rep effect,rf,96.13292852718928,252.7368441204598,3.900986952540758e-41,68
Heteroscedastic,Performance,Rep effect,svm,77.25060629299627,35.65507619777764,1.83704346221431e-18,70
Heteroscedastic,Performance,Rep effect,xgboost,92.99738780674429,137.23064776625458,7.3228727404739926e-34,69
Heteroscedastic,Robustness,Model effect,continuous_pdv,35.43835924508883,5.339371511524389,1.07237176610695e-06,119
Heteroscedastic,Robustness,Model effect,ecfp4,44.07393076702875,6.567290736309702,1.581191983649361e-08,113
Heteroscedastic,Robustness,Model effect,mhggnn,25.616406347684297,3.3577291661566133,0.002345741642842298,87
Heteroscedastic,Robustness,Model effect,mol2vec,36.105057910385945,5.509423799657594,1.6014679172812533e-05,87
Heteroscedastic,Robustness,Model effect,morgan,61.87735353657716,15.870435777278514,4.220207147127263e-15,98
Heteroscedastic,Robustness,Model effect,pdv,21.10070719724125,2.429232889586875,0.007772809549181381,122
Heteroscedastic,Robustness,Model effect,smiles,70.20319972502826,22.70389957121932,3.925009569649155e-23,118
Heteroscedastic,Robustness,Model effect,sns,65.0386055446154,18.97503766337628,1.2933421754413528e-10,57
Heteroscedastic,Robustness,Rep effect,dnn,17.699332199513346,1.904790300695366,0.08384909250868726,70
Heteroscedastic,Robustness,Rep effect,dnn_bnn_full,30.887518182803163,4.37978307582859,0.0022492490055137384,55
Heteroscedastic,Robustness,Rep effect,dnn_vbll,10.979878504640213,1.4800984299100164,0.23629280942746878,40
Heteroscedastic,Robustness,Rep effect,gauche,12.96431599990972,1.5143659850168816,0.18864489002292853,68
Heteroscedastic,Robustness,Rep effect,lgb,3.278485105794625,0.30990748025454773,0.9469526821868832,72
Heteroscedastic,Robustness,Rep effect,mlp,42.227161616258115,6.995921829209024,2.9594277620990077e-06,75
Heteroscedastic,Robustness,Rep effect,mlp_bnn_full,27.951888590804526,3.8796143360445394,0.004763931338596588,56
Heteroscedastic,Robustness,Rep effect,mlp_vbll,10.980026313698751,1.4801208123100356,0.23628684537095124,40
Heteroscedastic,Robustness,Rep effect,ngboost,2.5961849375867967,0.27719985437531386,0.9235690411118176,58
Heteroscedastic,Robustness,Rep effect,qrf,12.920110062915851,1.5727301305255994,0.18378403895865136,59
Heteroscedastic,Robustness,Rep effect,rf,11.696557079382073,1.3466631995381877,0.25071541682446863,68
Heteroscedastic,Robustness,Rep effect,svm,12.777190251280599,1.5381354719590952,0.18044816368203714,70
Heteroscedastic,Robustness,Rep effect,xgboost,5.231103412076023,0.579584524083158,0.7451937621746523,70
