model,rep,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
dnn,ecfp4,0.8875939110363187,0.7954665457290702,0.934650239194113,0.828414629140916,0.5181213276514913,0.592932800464335,0.7595299088693741,0.16681532598312815
mlp_bnn_full,morgan,0.8919340929373678,0.792930121063828,0.9437711473138178,0.8246652279848038,0.5079809400447985,0.5867938989777871,0.7580125713870672,0.173167366917049
mlp,continuous_pdv,0.8916498079635081,0.7891972006948186,0.934342519629147,0.815956816405814,0.5159765929213718,0.5902029443920447,0.7562209803344507,0.16733404033594174
dnn,morgan,0.882453266799968,0.7803381799557065,0.9343953373356808,0.8168021818989402,0.4953206939712045,0.5734379359731423,0.7471245993224404,0.17487970081458912
mlp,morgan,0.8839350132189825,0.778806382685893,0.9367790078428382,0.8134049767800595,0.4898966853466822,0.567403313087077,0.7450375631602554,0.17805758281496364
dnn,sns,0.8894365164105036,0.7823943723772617,0.9307104109558343,0.8056732332121237,0.4902090803827634,0.5699306514972302,0.7447257108059527,0.1766335655651542
dnn,mol2vec,0.8291688306299307,0.78700377247897,0.8859031548409319,0.7919269097716077,0.5647608234602854,0.5697797825270998,0.7380905456181376,0.13697181087271196
mlp,ecfp4,0.8743909080755035,0.777287972978317,0.934831132364933,0.8148638267451375,0.46992126341086443,0.5532133503905206,0.7374180756608794,0.18482794714321674
dnn,randomized_smiles,,0.7625710977165001,0.9236605781621298,0.8094412994641121,0.44639272329062035,,0.7355164246583406,0.20427724595066135
dnn,smiles,0.8844489661830729,0.7710265643729054,0.9333389330659038,0.8084952325281143,0.4603554021356787,0.5520967209829191,0.7349603032114324,0.1882849136622644
mlp,mhggnn,0.8499009643142378,0.7734797430107867,0.9454335470701347,0.7391682619583809,0.49009346905700013,0.5415821615272481,0.7232763578229647,0.17637889941000615
mlp,sns,0.8685428606939352,0.7409376603659893,0.9231787471158,0.7897842841730965,0.43273444823371016,0.5231555229961682,0.7130555872631166,0.1947484083790052
dnn,mhggnn,0.9061539304125453,0.6896618267104065,0.8787989600534102,0.7673118405818703,0.433525588033097,0.5548738505397505,0.7050543327218466,0.18494496839054203
mlp,randomized_smiles,,0.6981048462207313,0.9171391107910966,0.7642390918865289,0.3047666379063331,,0.6710624217011725,0.2608572551735665
mlp,smiles,0.8461763730697751,0.7044445107874433,0.9264596818328966,0.7657861412845264,0.29667421173757696,0.41196660232580834,0.6585845868396712,0.24993703229843217
