Strategy,Analysis,Type,Within,eta2,F,p,n
Outlier,Performance,Rep effect,mlp,60.18190706949045,17.003487728891177,1.4601666105947389e-08,50
Outlier,Performance,Rep effect,mlp_bnn_full,99.81878193524776,5921.329682397749,2.527911243041906e-58,48
Outlier,Performance,Rep effect,mlp_vbll,99.49405262255391,1474.867600729111,5.802769879234504e-34,35
Outlier,Performance,Rep effect,ngboost,98.27153361976286,639.6160005557255,5.1427048355788815e-39,50
Outlier,Performance,Rep effect,rf,95.83772645172101,247.52230899912018,4.468531407893522e-29,48
Outlier,Performance,Rep effect,svm,79.64318828051815,44.01405684262215,5.283044163168186e-15,50
Outlier,Performance,Rep effect,xgboost,95.83087217248662,241.35123686319557,2.2168459936959036e-28,47
Outlier,Robustness,Model effect,continuous_pdv,18.73662390273555,2.259553110703082,0.020138588871029265,109
Outlier,Robustness,Model effect,ecfp4,15.313734875017165,1.7178757511381255,0.0877226361605954,106
Outlier,Robustness,Model effect,mhggnn,26.508163019133196,3.606953385317403,0.004041571212380098,67
Outlier,Robustness,Model effect,mol2vec,34.24226884768743,5.120548379155627,0.00027201792134922483,66
Outlier,Robustness,Model effect,smiles,22.932649386174788,2.876474611285281,0.005080993705917604,97
Outlier,Robustness,Rep effect,dnn,25.66788929647289,3.6257928782342073,0.012595751194458127,47
Outlier,Robustness,Rep effect,dnn_bnn_full,1.3155398078552147,0.1799653904116799,0.8362928678228102,30
Outlier,Robustness,Rep effect,dnn_vbll,0.43289492676250346,0.056521017094682664,0.9451624118425823,29
Outlier,Robustness,Rep effect,lgb,3.987992149563327,0.4465161865439491,0.7742996985944587,48
Outlier,Robustness,Rep effect,mlp,1.9064731840975895,0.21378785844280432,0.9293939878422051,49
Outlier,Robustness,Rep effect,mlp_bnn_full,1.7131635085841515,0.23530828940563633,0.7919309528658395,30
Outlier,Robustness,Rep effect,mlp_vbll,5.642558923637873,0.7773977883517251,0.46999150583150534,29
Outlier,Robustness,Rep effect,ngboost,0.7187250376841854,0.08445827718097818,0.9680751907509757,39
Outlier,Robustness,Rep effect,rf,1.8354465763805332,0.19165092440967513,0.941399158240888,46
Outlier,Robustness,Rep effect,svm,0.9224697536503086,0.10474407974000054,0.9802763935677872,50
Outlier,Robustness,Rep effect,xgboost,1.286021253611677,0.14004833613123124,0.9664070596481642,48
Threshold,Performance,Model effect,continuous_pdv,76.44199402126038,31.79944610271435,1.7599208938363977e-26,109
Threshold,Performance,Model effect,ecfp4,63.92951418721062,17.36902691819368,1.0225172152438048e-17,109
Threshold,Performance,Model effect,mhggnn,96.31276188528894,219.41278937441757,8.920994366662405e-56,95
Threshold,Performance,Model effect,mol2vec,98.80467134072254,661.2719979487529,1.6287670377400753e-72,91
Threshold,Performance,Model effect,smiles,91.54142733166816,104.97655809491387,1.876202318381683e-47,108
