Strategy,Rep,Model,Unc-Error ρ,Unc-Noise ρ (pooled),ECE,Coverage 1σ,Coverage 2σ,Mean Uncertainty,Mean Aleatoric,Mean Epistemic,Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6
Gaussian,pdv,BNN-β,0.19859356210530416,0.3263572164599869,0.22521427614958794,0.7490545454545454,0.9506545454545454,0.6662994469673634,,,0.1067567738297653,10000,0.01496580350882896,10000,0.002554965901459295,10000
Gaussian,pdv,VBLL-β,0.15518748301698085,0.26403310218422144,0.21185791950189975,0.7387706422018349,0.943440366972477,0.6533792341368165,0.5682309948623853,0.6533792341368165,0.09666457760447031,10000,0.00020995501448124835,10000,-0.0047120046038949155,9000
Gaussian,pdv,VBLL-α,0.17001325524689784,0.3721830122647381,0.16162580165602028,0.7240818181818182,0.9468727272727273,0.6254700654850001,0.6128287255454545,0.6254700654850001,0.10570361027645743,10000,-0.012067749916580465,10000,-0.0011264835853465776,10000
Gaussian,continuous_pdv,QRF,0.29713404842648333,0.35516693158890017,0.13630797893440366,0.7028297170282972,0.9401059894010599,0.5622016490936451,0.5622016490936451,,-0.08619497706134804,1000,,1,0.017474238732383966,1000
Gaussian,continuous_pdv,BNN-β,0.2405961239308484,0.37589311795623587,0.19311006864542604,0.7212,0.9402,0.5926578137042999,,0.5926578137042999,0.011905422191824234,1000,-0.05039877839877841,1000,-0.04375973575973576,1000
Gaussian,continuous_pdv,BNN-α,0.22914276452823965,0.3534865211890865,0.25821600278463563,0.7459,0.9428,0.6578013237309001,,0.6578013237309001,-0.03514289341037812,1000,-0.0483955563955564,1000,-0.06656287856287856,1000
Gaussian,continuous_pdv,VBLL-α,0.15926460460392322,0.24723751233713645,0.22922538858972089,0.7406363636363636,0.9545454545454546,0.6870882495818181,0.6458687127272728,0.6870882495818181,0.22114832937352308,1000,0.013971397971397974,1000,0.020755268755268754,1000
Gaussian,continuous_pdv,NGBoost,0.2869622510098105,0.47196501660753837,0.11298155878861624,0.6897272727272727,0.952,0.5601902636045724,0.5601902636045724,,0.01834711897837944,1000,0.01843611599556435,1000,0.022990262650388067,1000
Gaussian,continuous_pdv,VBLL-β,0.22647680265409745,0.3728572918741218,0.1985698518955452,0.7147272727272728,0.9448181818181818,0.6473349406890909,0.6283800763636364,0.6473349406890909,0.055511674799752754,1000,0.01951977151977152,1000,0.02801038001038001,1000
Gaussian,mhggnn,BNN-α,-0.0047574615398951565,0.08737948625721532,0.4683381430653152,0.35910909090909093,0.6187090909090909,0.638045195739909,,0.638045195739909,-0.002365593399112181,10000,-0.00901543121412908,10000,-0.012191392240354045,10000
Gaussian,mhggnn,BNN-β,-0.0025291557046079995,0.05531507384236828,0.6998081462076429,0.45874545454545457,0.7244090909090909,1.0918740819664545,,,-0.0005581956112848848,10000,-0.005505613536544702,10000,0.0011865288657606087,10000
Gaussian,mhggnn,VBLL-α,0.08685271464890962,-0.04624315091920933,13.406061956500787,0.26574545454545456,0.3855545454545454,13.295755968974639,0.6793083065454546,13.295755968974639,0.028876947893140787,10000,0.011157066460452855,10000,-0.004765995859425339,10000
Gaussian,mhggnn,VBLL-β,0.10336596464783343,-0.029035498951201194,15.338146671381743,0.3111090909090909,0.47084545454545457,15.384718036916217,0.6621668863636363,15.384718036916217,-0.05404499116567109,10000,-0.00944006269147951,10000,0.0004908624051245615,10000
Gaussian,mol2vec,BNN-α,0.012341599049646032,-0.0021162111896102544,0.40383339371289706,0.4056831683168317,0.6917029702970297,0.7116504930620793,,0.7116504930620793,0.007419252822844699,10000,-0.014425638232941263,9000,-0.014157284781967355,6000
Gaussian,mol2vec,BNN-β,0.015226876531627154,-0.04886597577034683,1.3331212196259608,0.5063265306122449,0.7642755102040817,1.793844536789214,,,0.004110486849052072,10000,-0.0031372896489144392,7000,0.005176440825503499,10000
Gaussian,mol2vec,VBLL-α,0.06799419903680148,0.03049158546502659,10.76905739375604,0.37412844036697246,0.4852935779816514,10.784028155022582,0.9249816287155965,10.784028155022582,0.00881411872725333,9000,0.005055153694502025,10000,-0.01840024324416705,10000
Gaussian,mol2vec,VBLL-β,0.1517262580119137,-0.0250433362856551,23.863978261930963,0.44835454545454545,0.5796545454545454,24.099843087596913,0.8426672664545455,24.099843087596913,0.00281184228722768,10000,0.0025688799930673623,10000,-0.019505865391224633,10000
Gaussian,morgan,QRF,0.21968917062916624,0.22165094967803242,0.10980221865444115,0.6782727272727272,0.9309090909090909,0.5925577772400299,0.5925577772400299,,-0.10591450789094374,1000,0.0009364029504489947,1000,0.0004561624588994337,1000
Gaussian,morgan,BNN-β,0.19688174557378593,0.38021127515705977,0.1752814187967533,0.721392523364486,0.949570093457944,0.6779956214233177,,0.6779956214233177,0.046101000273121924,9000,0.008440766988838149,10000,-0.0032851108649398068,10000
Gaussian,morgan,BNN-α,0.20246172031737833,0.32845976106017055,0.17262818668393892,0.7192018348623853,0.9512935779816514,0.6801188069014679,,0.6801188069014679,0.05002594419162984,10000,-0.0010863395029122801,10000,-0.0019345830194444941,10000
Gaussian,morgan,GP,0.2239466953730843,0.5269016972546984,0.13924778511855593,0.7137129629629629,0.9542222222222222,0.599684711128133,0.42143098643923227,0.599684711128133,-0.12537913044319515,9000,-0.012805939982405161,10000,-0.015263788526392907,9000
Gaussian,morgan,NGBoost,0.19891767774748953,0.43862843718171096,0.13861839075330043,0.6975363636363636,0.9530454545454545,0.6731752780871987,0.6731752780871987,,-0.003927488074595379,10000,0.016186818753311346,10000,0.027423858311529322,10000
Threshold,sns,QRF,0.20532787397902255,0.27079227299473935,0.14506340297188008,0.6741325867413258,0.9205079492050795,0.7241237825297239,0.7241961949079768,,,1,0.055850697861323025,1000,0.058235113729220654,1000
Threshold,sns,NGBoost,0.1664521397906587,0.49969274639008227,0.147965121780138,0.6882727272727273,0.949,0.7479716156476769,0.7479716156476769,,-0.002466862299102919,1000,0.09006227512172613,1000,0.07735207674929348,1000
Threshold,sns,GP,0.25799790634669795,0.5600172258723403,0.1433039746725891,0.7017777777777777,0.9458888888888889,0.6633620137511643,1.0964593012302648,0.6633620137511643,-0.07043303159904986,1000,-0.025733162273558687,1000,-0.025276435807240965,1000
Threshold,sns,BNN-α,0.25694657373620305,0.4594683130355571,0.2005033298166271,0.7221181818181818,0.9498181818181818,0.7690261431235454,,0.7690261431235454,0.08691308682375826,10000,-0.0011828948160844534,10000,-0.006921134596706311,10000
Threshold,sns,BNN-β,0.2609376469423998,0.4526563218707602,0.20426953042813473,0.7216,0.9502272727272727,0.7816146896203637,,,0.04596287942482414,10000,-0.003164044796323882,10000,-0.004187278950752119,10000
Threshold,smiles,BNN-α,0.217814425814869,0.4126325587232514,0.1960219270647852,0.7107636363636364,0.9493545454545455,0.788322230156182,,0.788322230156182,0.06458596209903694,10000,-0.004143423113608256,10000,0.006258684086718274,10000
Threshold,smiles,BNN-β,0.22282150032902723,0.42832912156622005,0.19340521206119904,0.7071636363636363,0.9483909090909091,0.7934231126332727,,,0.05854195104278747,10000,0.004672052536804622,10000,0.009584937318079413,10000
Threshold,smiles,VBLL-β,0.1477670965434092,0.33537492857728807,0.26261444048838983,0.7247247706422019,0.9499724770642202,0.8738265538723853,0.7861427238532109,0.8738265538723853,0.09883420112490955,10000,-0.009671134234782252,9000,0.0011924139359456027,10000
Threshold,smiles,VBLL-α,0.13887534420981384,0.3523315757807886,0.20659205708872916,0.7001651376146789,0.9512660550458716,0.8540967236911008,0.8272169346788989,0.8540967236911008,0.16980679742520963,10000,0.001039453690403892,10000,0.009241758512583935,10000
Threshold,ecfp4,QRF,0.26147662294133245,0.38327633299889197,0.21300522455374898,0.7335454545454545,0.9475454545454546,0.7659891869400359,0.7659891869400359,,-0.1544954987158518,1000,-0.01945831963344451,1000,0.025434337663246705,1000
Threshold,ecfp4,BNN-α,0.20919245609940115,0.38618335973163676,0.31726688095292954,0.7618454545454545,0.9518,0.8823937930102274,,0.8823937930102274,0.13446749929095314,10000,0.02423485793874783,10000,0.0274111430227429,10000
Threshold,ecfp4,NGBoost,0.24125640021078043,0.5187082276789323,0.13242310435798968,0.6828888888888889,0.9405555555555556,0.699420398238907,0.699420398238907,,0.04402160764051236,1000,-0.015825832015742003,1000,0.00281555090846409,1000
Threshold,ecfp4,GP,0.20595772065930495,0.40275492997892354,0.22264032136353468,0.7529090909090909,0.9509090909090909,0.7609205508445795,1.332987857479625,0.7609205508445795,-0.24384381349075887,1000,-0.05499305499305499,1000,-0.05944461544461545,1000
Threshold,ecfp4,BNN-β,0.22170449439771045,0.3836823689996846,0.39778530898578623,0.7804181818181818,0.9490454545454545,0.9551150937812365,,,0.14777206024194792,10000,0.02880305632868407,10000,0.03220803015705703,10000
Threshold,ecfp4,VBLL-β,0.2228727709801328,0.4038665120099125,0.2421614599956946,0.7305779816513761,0.9523577981651377,0.821379637791835,0.7619909040366972,0.821379637791835,0.04690371358354398,9000,0.00031443564917265574,10000,0.01375499440841651,10000
Threshold,ecfp4,VBLL-α,0.1454587784198255,0.3599387638191715,0.25383416527382036,0.7286296296296296,0.9485462962962963,0.8598022373508334,0.8076706625925926,0.8598022373508334,0.14530705164154192,9000,0.015873317241685572,10000,0.017907364236148086,10000
Threshold,pdv,QRF,0.21963342494720375,0.33049324052580514,0.15156443529795383,0.6446363636363637,0.8832727272727273,0.6662624112955985,0.6662624112955985,,0.3597264826447163,1000,-0.04170003058534203,1000,-0.02655642324864275,1000
Threshold,pdv,NGBoost,0.25027263580254155,0.5100883368379764,0.14602473458460044,0.689,0.9499090909090909,0.6954919452668169,0.6954919452668169,,-0.049918103234698134,1000,-0.004345080104837904,1000,0.046970607012067775,1000
Threshold,pdv,BNN-α,0.21930145873599258,0.3969584516602412,0.21967618839091915,0.7237,0.9479363636363637,0.7681307206950908,,0.7681307206950908,0.0679034483031356,10000,0.0035412835798827613,10000,0.013796988037301151,10000
Threshold,pdv,GP,0.2260364042206888,0.35763485964989955,0.2298251543234427,0.7308,0.9439,0.7446913270078257,2.4829748104773652,0.7446913270078257,-0.20893941680088352,1000,-0.043340895272279835,1000,-0.041397840973646564,1000
Threshold,pdv,BNN-β,0.2260013120285676,0.38519681716036414,0.2708689149465959,0.7441272727272727,0.9507818181818182,0.8143764408093636,,,0.09962636230177373,10000,0.006715754106664786,10000,0.009329697465461896,10000
Threshold,pdv,VBLL-β,0.19755773874088947,0.3379139004555382,0.21884755449982363,0.7176788990825688,0.9405688073394496,0.7727251347419999,0.7067474046788992,0.7727251347419999,0.09666457760447031,10000,-0.011775504065566132,9000,0.00013386150758157373,10000
Threshold,pdv,VBLL-α,0.22588301384090323,0.443147929861417,0.17755114818343376,0.7055045871559633,0.9448348623853211,0.7472517644725688,0.7406181389908258,0.7472517644725688,0.10570361027645743,10000,0.005510275535285745,10000,0.020098743898810032,9000
Threshold,continuous_pdv,BNN-β,0.25556967975474576,0.4135707617353911,0.2867479882921279,0.7275454545454545,0.9392727272727273,0.8086465530461818,,0.8086465530461818,0.011905422191824234,1000,-0.03776769776769777,1000,0.007961251961251962,1000
Threshold,continuous_pdv,BNN-α,0.23252346387013764,0.38575414134075964,0.4050965694303592,0.7614545454545455,0.9438181818181818,0.9146790699020001,,0.9146790699020001,-0.03514289341037812,1000,-0.06145888945888946,1000,0.031802647802647806,1000
Threshold,continuous_pdv,QRF,0.28926267836411496,0.40870183154429796,0.15609913833672948,0.6957272727272727,0.9343636363636364,0.6919152238427001,0.6919152238427001,,-0.08619497706134804,1000,0.017898505187197607,1000,-0.00839780080089525,1000
Threshold,continuous_pdv,NGBoost,0.2790285569700993,0.5135035906056361,0.13971773643505173,0.689,0.9458181818181818,0.6832533841511401,0.6832533841511401,,0.01834711897837944,1000,0.016363609674507597,1000,0.023313516012921504,1000
Threshold,continuous_pdv,VBLL-α,0.19350583687282136,0.32825658676675645,0.2882965926024861,0.7336363636363636,0.9537272727272728,0.8509031015372728,0.7678119581818181,0.8509031015372728,0.22114832937352308,1000,0.007454887454887455,1000,0.02257184257184257,1000
Threshold,continuous_pdv,VBLL-β,0.24902530731443998,0.3844668058537677,0.26863501974287596,0.7064545454545454,0.9365454545454546,0.8308070108636364,0.7695260581818182,0.8308070108636364,0.055511674799752754,1000,0.014880722880722879,1000,-0.007782571782571784,1000
Threshold,mhggnn,BNN-α,0.0262214823163047,-0.023478811235870218,0.5236298103014696,0.3706181818181818,0.6294545454545455,0.7356059384885455,,0.7356059384885455,-0.006687442410464302,10000,-0.012345468333476654,10000,-0.018302063606596412,10000
Threshold,mhggnn,BNN-β,-0.00043286618084051255,0.03811972928730182,0.5422233638645694,0.4738363636363636,0.7376545454545455,0.9493802469043638,,,0.003882040677363034,10000,0.0011003552968604894,10000,-0.0010659767308646261,10000
Threshold,mhggnn,VBLL-α,0.08079928956159575,-0.046595627163842836,11.806539901175135,0.2613,0.3921545454545455,11.703873543094998,0.6625388301818184,11.703873543094998,0.028876947893140787,10000,-0.01043411485846052,10000,-0.01846150877721571,10000
Threshold,mhggnn,VBLL-β,0.06655907516700142,0.0003469047027279191,10.139649093748455,0.3356,0.5106181818181819,10.186292936569634,0.6667884173636361,10.186292936569634,-0.02342690433243756,10000,0.004303035161621549,10000,-0.010991728430950786,10000
Threshold,mol2vec,BNN-α,0.07124539538448577,-0.06330358422375824,0.7115216538574638,0.4346831683168317,0.7041980198019802,1.5434620192084159,,1.5434620192084159,0.007419252822844699,10000,-0.0052168368277856845,8000,-0.018026730093729088,10000
Threshold,mol2vec,BNN-β,0.07351516982327663,-0.0435238987019177,1.2188691081795442,0.4820816326530612,0.7251326530612245,2.6122145711590306,,,0.004110486849052072,10000,-0.0031948021237871234,8000,-0.011214204085501814,8000
Threshold,mol2vec,VBLL-β,0.10198703823656821,-0.002187339946755079,17.307520906135178,0.4262,0.5714090909090909,17.489582363676647,0.8476606285454544,17.489582363676647,-0.05174654216565015,10000,-0.007108889572137897,10000,0.001693575870913513,10000
Threshold,mol2vec,VBLL-α,0.113419714493862,0.0830841440754236,18.71088341669805,0.4449818181818182,0.5512818181818182,18.898357368551903,0.9315932101818182,18.898357368551903,0.005610260800072827,10000,-0.01841853394958981,10000,-0.006736908539004974,10000
Threshold,morgan,QRF,0.2194223903379608,0.3055518050012387,0.0865007177540541,0.65,0.911,0.6609468972190865,0.6609468972190865,,-0.10591450789094374,1000,0.0069880030299310485,1000,0.019311559485363523,1000
Threshold,morgan,NGBoost,0.2094774382943681,0.5113424040970117,0.14542592471632199,0.6954133333333333,0.9527866666666667,0.7076397692993146,0.7076397692993146,,-0.003927488074595379,10000,0.019248577003578442,10000,0.02776055927118122,10000
Threshold,morgan,BNN-β,0.24819381090577117,0.4428690208930374,0.20454588254186543,0.7107181818181818,0.9492,0.8206765784104545,,0.8206765784104545,0.04167004225961058,10000,-0.0072332226545275225,10000,-0.0011591957216510764,10000
Threshold,morgan,BNN-α,0.23958940197492218,0.44712636175007037,0.19453534310607382,0.7099805825242719,0.9505922330097087,0.7935413618594175,,0.7935413618594175,0.06174194363507921,10000,-0.0077644937940409275,10000,-0.0066723725530640175,10000
Threshold,morgan,GP,0.25945532209544636,0.5013362493840757,0.15679243382470065,0.7003545454545455,0.9537181818181818,0.7184959290211839,0.9581678179243527,0.7184959290211839,-0.1070108988207714,10000,-0.016309930537539673,10000,-0.008805792856295685,10000
Outlier,sns,QRF,0.2729419287693026,0.05076894472490353,0.14866623706485146,0.7290602088424795,0.9499000222172851,0.49883367275862084,0.49894452468590056,,0.256931417813028,1000,,1,0.10584994461319222,1000
Outlier,sns,NGBoost,0.19194785297295328,0.2832383370068788,0.12334227060915649,0.7058181818181818,0.9607272727272728,0.5991127493101012,0.5991127493101012,,-0.002466862299102919,1000,0.16163488782111626,1000,0.2028970342423916,1000
Outlier,sns,GP,0.04829639591891595,0.24136438233506313,0.1435090015973659,0.770125,0.953375,0.483704283563306,0.373636116752175,0.483704283563306,-0.07043303159904986,1000,-0.02352124801519423,1000,-0.03608132483903267,1000
Outlier,sns,BNN-α,0.12589426327503578,0.28706284579383445,0.1729684853051853,0.7888181818181819,0.9508090909090909,0.5119772483944546,,0.5119772483944546,0.08814566196318363,10000,0.16032188598896258,10000,0.23261267566488195,10000
Outlier,sns,BNN-β,0.14255827178861039,0.2984857304364287,0.1781803209417372,0.7926818181818182,0.9515363636363636,0.5199733751057273,,,0.04596287942482414,10000,0.17699351209363476,10000,0.283205216823826,10000
Outlier,smiles,BNN-α,0.09529554377016351,0.213808747755198,0.18991752516482668,0.7707545454545455,0.9526181818181818,0.591422418040391,,0.591422418040391,0.0672661779222973,10000,0.08815039673456176,10000,0.10377866342565464,10000
Outlier,smiles,BNN-β,0.11695616598461622,0.26351632763834726,0.17274599053053374,0.7623090909090909,0.9507727272727273,0.5780015222599091,,,0.0701488646272652,10000,0.13157969610977066,10000,0.1697633862331989,10000
Outlier,smiles,VBLL-α,0.06735845461353634,0.19173193540270211,0.20488908583474613,0.7457818181818182,0.9529,0.6975559967891819,0.6529024497272727,0.6975559967891819,0.18260614460580013,10000,0.09659131557794157,10000,0.16835159400054625,10000
