dataset,model,rep,strategy,ratio,n,mad_matched,mad_nominal
OpenADMET-Caco2_Efflux,SVM,ECFP4,quantile,0.9058450742113295,11,0.11158162299725825,0.14117621989778226
OpenADMET-Caco2_Efflux,SVM,ECFP4,threshold,0.6143509722263227,11,0.05820056334285069,0.17686931296121658
OpenADMET-Caco2_Efflux,SVM,ECFP4,outlier,0.7642612944784348,11,0.10287960057361129,0.1765765140121938
OpenADMET-Caco2_Efflux,SVM,ECFP4,hetero,0.3427679929691543,11,0.006218317168799942,0.19110049326245868
OpenADMET-Caco2_Efflux,SVM,MHG-GNN-pretrained,valprop,1.0176820226376952,10,0.011939022770167448,0.01693461117895473
OpenADMET-Caco2_Efflux,SVM,MHG-GNN-pretrained,quantile,0.9058450742113295,11,0.10910099681398776,0.13760300625151275
OpenADMET-Caco2_Efflux,SVM,MHG-GNN-pretrained,threshold,0.6143509722263227,11,0.05944515847612805,0.16057277577417098
OpenADMET-Caco2_Efflux,SVM,MHG-GNN-pretrained,outlier,0.7642612944784348,11,0.0930005215213288,0.15934822265887094
OpenADMET-Caco2_Efflux,SVM,MHG-GNN-pretrained,hetero,0.3427679929691543,11,0.004971846519406676,0.1623669786847523
OpenADMET-Caco2_Efflux,SVM,PDV,valprop,1.0176820226376952,10,0.011404558952821303,0.01637855334676392
OpenADMET-Caco2_Efflux,SVM,PDV,quantile,0.9058450742113295,11,0.0820183602790605,0.11137740715864292
OpenADMET-Caco2_Efflux,SVM,PDV,threshold,0.6143509722263227,11,0.04630951318933649,0.13392198182728457
OpenADMET-Caco2_Efflux,SVM,PDV,outlier,0.7642612944784348,11,0.07770754744597902,0.13702837889329686
OpenADMET-Caco2_Efflux,SVM,PDV,hetero,0.3427679929691543,11,0.011612683651443184,0.1491606692748653
OpenADMET-Caco2_Efflux,SVM,SNS,valprop,1.0176820226376952,10,0.011609466652059109,0.0158018924246544
OpenADMET-Caco2_Efflux,SVM,SNS,quantile,0.9058450742113295,11,0.09511078190276824,0.12493317917241945
OpenADMET-Caco2_Efflux,SVM,SNS,threshold,0.6143509722263227,11,0.050003665692544746,0.15539520112052943
OpenADMET-Caco2_Efflux,SVM,SNS,outlier,0.7642612944784348,11,0.09608533999775949,0.16008535651999686
OpenADMET-Caco2_Efflux,SVM,SNS,hetero,0.3427679929691543,11,0.010395037696845051,0.16674476027758667
OpenADMET-Caco2_Efflux,VBLL-Full,ECFP4,valprop,1.0176820226376952,10,0.016128424681361157,0.017945039009782275
OpenADMET-Caco2_Efflux,VBLL-Full,ECFP4,quantile,0.9058450742113295,11,0.08187255999607707,0.07011814683190737
OpenADMET-Caco2_Efflux,VBLL-Full,ECFP4,threshold,0.6143509722263227,11,0.11268535553238261,0.0738267308954323
OpenADMET-Caco2_Efflux,VBLL-Full,ECFP4,outlier,0.7642612944784348,11,0.1798101822640491,0.15662085926442762
OpenADMET-Caco2_Efflux,VBLL-Full,ECFP4,hetero,0.3427679929691543,11,0.016305481884652653,0.0711134965637697
OpenADMET-Caco2_Efflux,VBLL-Full,PDV,valprop,1.0176820226376952,10,0.014677226720261127,0.015447547486720403
OpenADMET-Caco2_Efflux,VBLL-Full,PDV,quantile,0.9058450742113295,11,0.026181272426574878,0.01838166554565268
OpenADMET-Caco2_Efflux,VBLL-Full,PDV,threshold,0.6143509722263227,11,0.05036786201022165,0.02638779957224604
OpenADMET-Caco2_Efflux,VBLL-Full,PDV,outlier,0.7642612944784348,11,0.09539114371025391,0.07732026179337394
OpenADMET-Caco2_Efflux,VBLL-Full,PDV,hetero,0.3427679929691543,11,0.0077369464442624825,0.05965443070525622
OpenADMET-Caco2_Efflux,VBLL-Full,SNS,valprop,1.0176820226376952,10,0.012425489952830002,0.014737777733339164
OpenADMET-Caco2_Efflux,VBLL-Full,SNS,quantile,0.9058450742113295,11,0.07850432713278979,0.06500903299636202
OpenADMET-Caco2_Efflux,VBLL-Full,SNS,threshold,0.6143509722263227,11,0.08501257221626479,0.04768704421088355
OpenADMET-Caco2_Efflux,VBLL-Full,SNS,outlier,0.7642612944784348,11,0.15351267157903728,0.1294360253498736
OpenADMET-Caco2_Efflux,VBLL-Full,SNS,hetero,0.3427679929691543,11,0.010510440514861785,0.09203723173223528
OpenADMET-Caco2_Efflux,XGBoost,ECFP4,valprop,1.0176820226376952,10,0.03626824545427207,0.052013912830372024
OpenADMET-Caco2_Efflux,XGBoost,ECFP4,quantile,0.9058450742113295,11,0.18559737501955517,0.10563370279688984
OpenADMET-Caco2_Efflux,XGBoost,ECFP4,threshold,0.6143509722263227,11,0.13504443120018148,0.16226070874868828
OpenADMET-Caco2_Efflux,XGBoost,ECFP4,outlier,0.7642612944784348,11,0.2690859981189205,0.11020513319361522
OpenADMET-Caco2_Efflux,XGBoost,ECFP4,hetero,0.3427679929691543,11,0.014871154990387785,0.4292229622932133
OpenADMET-Caco2_Efflux,XGBoost,MHG-GNN-pretrained,valprop,1.0176820226376952,10,0.029105917519579506,0.04456064332965739
OpenADMET-Caco2_Efflux,XGBoost,MHG-GNN-pretrained,quantile,0.9058450742113295,11,0.05357441692466698,0.10324358636827706
OpenADMET-Caco2_Efflux,XGBoost,MHG-GNN-pretrained,threshold,0.6143509722263227,11,0.07755967735773611,0.3499894824228677
OpenADMET-Caco2_Efflux,XGBoost,MHG-GNN-pretrained,outlier,0.7642612944784348,11,0.07379169890492387,0.22496686241017014
OpenADMET-Caco2_Efflux,XGBoost,MHG-GNN-pretrained,hetero,0.3427679929691543,11,0.014665292635999493,0.5280139207552995
OpenADMET-Caco2_Efflux,XGBoost,PDV,valprop,1.0176820226376952,10,0.030548230257106256,0.045300860580634636
