dataset,model,rep,strategy,fold,baseline,auc_norm,r2_06
ChEMBL-hERG-Ki,LightGBM,SNS,threshold,0,0.532816899135538,0.5204040713150366,0.2886923200058229
ChEMBL-hERG-Ki,LightGBM,SNS,threshold,1,0.5653943434746173,0.3009196072332346,0.0727219074712181
ChEMBL-hERG-Ki,LightGBM,SNS,threshold,2,0.4747924445772712,0.207046194916085,-0.1171723188281841
ChEMBL-hERG-Ki,LightGBM,SNS,threshold,3,0.5870632944023952,0.26584606523835097,0.0872843916136686
ChEMBL-hERG-Ki,LightGBM,SNS,threshold,4,0.5028153140260351,0.20897549818087213,0.0305792486381585
ChEMBL-hERG-Ki,LightGBM,SNS,valprop,0,0.532816899135538,0.5815494361105337,0.2865684182309753
ChEMBL-hERG-Ki,LightGBM,SNS,valprop,1,0.5653943434746173,0.4064548478651954,0.1592759121058446
ChEMBL-hERG-Ki,LightGBM,SNS,valprop,2,0.4747924445772712,0.21634866031846883,-0.1211168484703726
ChEMBL-hERG-Ki,LightGBM,SNS,valprop,3,0.5870632944023952,0.3014962571322695,0.0905142236150589
ChEMBL-hERG-Ki,LightGBM,SNS,valprop,4,0.5028153140260351,0.24056949705288305,0.0950960940314936
ChEMBL-hERG-Ki,MLP,ECFP4,hetero,0,0.4739769200741688,0.8589049072252314,0.4164941730869529
ChEMBL-hERG-Ki,MLP,ECFP4,hetero,1,0.458676221210495,1.04632684494046,0.5017957502931256
ChEMBL-hERG-Ki,MLP,ECFP4,hetero,2,0.5056679810585385,0.8231511164986576,0.3776698560305958
ChEMBL-hERG-Ki,MLP,ECFP4,hetero,3,0.4591963716188092,0.9151577330500614,0.3054237872145307
ChEMBL-hERG-Ki,MLP,ECFP4,hetero,4,0.459511261664953,0.891530430742077,0.4495243477711305
ChEMBL-hERG-Ki,MLP,ECFP4,legacy,0,0.4604420245153667,0.8601535946484027,0.3994965182777124
ChEMBL-hERG-Ki,MLP,ECFP4,legacy,1,0.4995704575265897,0.8577033351499666,0.3935931609941786
ChEMBL-hERG-Ki,MLP,ECFP4,legacy,2,0.465235407216452,0.8276103944285726,0.2628671092304285
ChEMBL-hERG-Ki,MLP,ECFP4,legacy,3,0.3997117082322964,0.970352510263565,0.3882125861745311
ChEMBL-hERG-Ki,MLP,ECFP4,legacy,4,0.4791016184064547,0.8226173845902871,0.4477682330805907
ChEMBL-hERG-Ki,MLP,ECFP4,outlier,0,0.3880231524235747,1.0972918522987984,0.4535321042232908
ChEMBL-hERG-Ki,MLP,ECFP4,outlier,1,0.492660666434337,0.9641886906438765,0.4543647309766671
ChEMBL-hERG-Ki,MLP,ECFP4,outlier,2,0.485483703788928,0.8252591518292874,0.3688335338728337
ChEMBL-hERG-Ki,MLP,ECFP4,outlier,3,0.5183434560399887,0.7949499033849277,0.3934357280107134
ChEMBL-hERG-Ki,MLP,ECFP4,outlier,4,0.4348775506219023,0.9291615661712878,0.4036753148783626
ChEMBL-hERG-Ki,MLP,ECFP4,quantile,0,0.3837272880273724,1.0331886950839844,0.4161121102286905
ChEMBL-hERG-Ki,MLP,ECFP4,quantile,1,0.4927817039194526,0.882329587930245,0.4559712542212655
ChEMBL-hERG-Ki,MLP,ECFP4,quantile,2,0.4914556353800074,0.8329264826202348,0.4154829814488445
ChEMBL-hERG-Ki,MLP,ECFP4,quantile,3,0.4481716562676296,0.9463307034710895,0.381384537861308
ChEMBL-hERG-Ki,MLP,ECFP4,quantile,4,0.477414443949005,0.8227383134376838,0.4241427541568312
ChEMBL-hERG-Ki,MLP,ECFP4,threshold,0,0.414265316035337,0.7695914551609011,0.2786454102149851
ChEMBL-hERG-Ki,MLP,ECFP4,threshold,1,0.5036926785697551,0.6264651627532226,0.2509246742008117
