model,rep,strategy,nds_mean,nds_std,baseline_r2,n_iterations,in_anova
lgb,ecfp4,legacy,-0.33915649974967904,,0.815851543727889,1,True
lgb,ecfp4,outlier,-0.11655794546015213,,0.8151172748286958,1,True
lgb,ecfp4,quantile,-0.30435867632842056,,0.8179967860676414,1,True
lgb,ecfp4,threshold,-0.6741922756020136,,0.8176599297340567,1,True
lgb,ecfp4,valprop,-0.595964440497683,,0.8089103516296442,1,True
lgb,mhggnn,hetero,-0.1944815991122593,,0.8442833065870868,1,True
lgb,mhggnn,legacy,-0.3552582840849045,,0.8442833065870868,1,True
lgb,mhggnn,outlier,-0.11977006036430643,,0.8442833065870868,1,True
lgb,mhggnn,quantile,-0.31152116862100654,,0.8442833065870868,1,True
lgb,mhggnn,threshold,-0.6996734686949714,,0.8442833065870868,1,True
lgb,mhggnn,valprop,-0.6227741251309669,,0.8442833065870868,1,True
lgb,mol2vec,hetero,-0.17973928807011647,,0.7851644441897734,1,True
lgb,mol2vec,legacy,-0.32686325875376565,,0.7820929748782124,1,True
lgb,mol2vec,outlier,-0.10919527517906456,,0.7826301481020912,1,True
lgb,mol2vec,quantile,-0.28688592491369497,,0.7807677779201689,1,True
lgb,mol2vec,threshold,-0.6331702158799022,,0.7840152330760103,1,True
lgb,mol2vec,valprop,-0.5678666351353523,,0.7826421268572361,1,True
lgb,morgan,hetero,-0.18446764836057492,,0.8175604850189953,1,False
lgb,morgan,legacy,-0.3390026371166213,,0.8175604850189953,1,False
lgb,morgan,outlier,-0.10943205411135269,,0.8175604850189953,1,False
lgb,morgan,quantile,-0.29815299007529894,,0.8175604850189953,1,False
lgb,morgan,threshold,-0.6731023937333208,,0.8175604850189953,1,False
lgb,morgan,valprop,-0.5976705882355432,,0.8175604850189953,1,False
lgb,pdv,hetero,-0.192344701026225,,0.8630647333904551,1,False
lgb,pdv,legacy,-0.3485553182279423,,0.8623969866416775,1,False
lgb,pdv,outlier,-0.11292807995728746,,0.8604286933137508,1,False
lgb,pdv,quantile,-0.29901276339998034,,0.8605512203380816,1,False
lgb,pdv,threshold,-0.6885349386643334,,0.8623969866416775,1,False
lgb,pdv,valprop,-0.6090432317724231,,0.8624876955824252,1,False
lgb,smiles,hetero,-0.16447846911958128,,0.7358874410380278,1,True
lgb,smiles,legacy,-0.30300167204368694,,0.7372987977830461,1,True
lgb,smiles,outlier,-0.09453562121425246,,0.7364580287522865,1,True
lgb,smiles,quantile,-0.26812739898356375,,0.7364580287522865,1,True
lgb,smiles,threshold,-0.5975785533397506,,0.7364580287522865,1,True
lgb,smiles,valprop,-0.536762294591657,,0.7377009405301866,1,True
lgb,sns,hetero,-0.18565869732210444,,0.8374112078537588,1,False
lgb,sns,legacy,-0.3338666676584365,,0.8374112078537588,1,False
lgb,sns,outlier,-0.10949291987283287,,0.8361354389653963,1,False
lgb,sns,quantile,-0.29513876901577246,,0.8379175609629272,1,False
