k,arm,rep,model,dose,r2,base,ret
0.5,B Student-t nu=5,2,Ridge,0.4982119576092741,0.8841186359536743,0.884274571945325,0.9998236565919705
0.5,B Student-t nu=3,0,RF,0.5006612370300761,0.8997839363852876,0.9282089461436186,0.9693764966644344
0.5,B Student-t nu=3,0,LGBM,0.5006612370300761,0.9051488294654346,0.9379852864169321,0.9649925671255127
0.5,B Student-t nu=3,0,Ridge,0.5006612370300761,0.8865310188710298,0.884274571945325,1.002551749193399
0.5,B Student-t nu=3,1,RF,0.48774433920444454,0.9114609203946775,0.9282089461436186,0.9819566210619676
0.5,B Student-t nu=3,1,LGBM,0.48774433920444454,0.9131205378095771,0.9379852864169321,0.9734913234062152
0.5,B Student-t nu=3,1,Ridge,0.48774433920444454,0.8784345562888889,0.884274571945325,0.9933956987549822
0.5,B Student-t nu=3,2,RF,0.4689311962450161,0.9077027717037559,0.9282089461436186,0.9779078034907349
0.5,B Student-t nu=3,2,LGBM,0.4689311962450161,0.914641924438136,0.9379852864169321,0.975113296213881
0.5,B Student-t nu=3,2,Ridge,0.4689311962450161,0.8897439610652763,0.884274571945325,1.0061851706398377
0.5,C Grouped lam=3,0,RF,0.4943118498072911,0.9124408062650243,0.9282089461436186,0.9830122948673299
0.5,C Grouped lam=3,0,LGBM,0.4943118498072911,0.9165277995841339,0.9379852864169321,0.9771238556259608
0.5,C Grouped lam=3,0,Ridge,0.4943118498072911,0.8817380080443775,0.884274571945325,0.9971314747914019
0.5,C Grouped lam=3,1,RF,0.502223015881424,0.9066917727381302,0.9282089461436186,0.9768186101902112
0.5,C Grouped lam=3,1,LGBM,0.502223015881424,0.9084487861802614,0.9379852864169321,0.9685106998325111
0.5,C Grouped lam=3,1,Ridge,0.502223015881424,0.8829774822640588,0.884274571945325,0.9985331595836656
0.5,C Grouped lam=3,2,RF,0.49739995139074245,0.904250293534021,0.9282089461436186,0.9741882981098842
0.5,C Grouped lam=3,2,LGBM,0.49739995139074245,0.9009675635568035,0.9379852864169321,0.9605348576398944
0.5,C Grouped lam=3,2,Ridge,0.49739995139074245,0.8789881479744484,0.884274571945325,0.9940217392441275
0.5,D Contam p=0.05,0,RF,0.4931934408907507,0.9109031165558364,0.9282089461436186,0.9813556746466603
0.5,D Contam p=0.05,0,LGBM,0.4931934408907507,0.9080025484145119,0.9379852864169321,0.9680349591442386
0.5,D Contam p=0.05,0,Ridge,0.4931934408907507,0.8819127418137376,0.884274571945325,0.9973290760511279
0.5,D Contam p=0.05,1,RF,0.4958695536729616,0.9057374568547892,0.9282089461436186,0.9757904840475946
0.5,D Contam p=0.05,1,LGBM,0.4958695536729616,0.9114245389246984,0.9379852864169321,0.9716831938870867
0.5,D Contam p=0.05,1,Ridge,0.4958695536729616,0.8813277812087029,0.884274571945325,0.9966675613773001
0.5,D Contam p=0.05,2,RF,0.506222590190941,0.9003568195893807,0.9282089461436186,0.9699936887379144
0.5,D Contam p=0.05,2,LGBM,0.506222590190941,0.9064017758566512,0.9379852864169321,0.9663283518220965
0.5,D Contam p=0.05,2,Ridge,0.506222590190941,0.8877976949855277,0.884274571945325,1.003984195805215
0.5,D Contam p=0.10,0,RF,0.4964660720280567,0.9091783935331625,0.9282089461436186,0.9794975552761894
0.5,D Contam p=0.10,0,LGBM,0.4964660720280567,0.9103140277170528,0.9379852864169321,0.9704992614483512
0.5,D Contam p=0.10,0,Ridge,0.4964660720280567,0.8807144257802911,0.884274571945325,0.9959739358362394
0.5,D Contam p=0.10,1,RF,0.4864494839211882,0.9086535404132778,0.9282089461436186,0.9789321081082157
0.5,D Contam p=0.10,1,LGBM,0.4864494839211882,0.9150912617909667,0.9379852864169321,0.9755923414178278
0.5,D Contam p=0.10,1,Ridge,0.4864494839211882,0.8798587377920944,0.884274571945325,0.9950062635596135
0.5,D Contam p=0.10,2,RF,0.497835797567876,0.9003691269665809,0.9282089461436186,0.9700069480124035
0.5,D Contam p=0.10,2,LGBM,0.497835797567876,0.9053181350690135,0.9379852864169321,0.9651730663359274
0.5,D Contam p=0.10,2,Ridge,0.497835797567876,0.8841936734930085,0.884274571945325,0.9999085143292784
1.0,A Gaussian,0,RF,0.993547248438423,0.8536237074357771,0.9282089461436186,0.9196460678194097
1.0,A Gaussian,0,LGBM,0.993547248438423,0.8217448154115574,0.9379852864169321,0.876074313010379
1.0,A Gaussian,0,Ridge,0.993547248438423,0.8701655684981409,0.884274571945325,0.9840445446529741
1.0,A Gaussian,1,RF,1.000651654711567,0.8524852553731024,0.9282089461436186,0.9184195637360301
1.0,A Gaussian,1,LGBM,1.000651654711567,0.8279264822065728,0.9379852864169321,0.8826646794953685
1.0,A Gaussian,1,Ridge,1.000651654711567,0.8411372412855304,0.884274571945325,0.9512172666405002
