dataset,representation,target,replicate,level,condition,family,model,n_train,n_test,label_sd,target_dose,realised_dose,dose_used,dose_mode,unit_dose_g,affected_molecule_fraction,n_noise_groups,largest_group_share,noise_seed,r2,r2_clean
QM9,PDV,homo_lumo_gap,4,1.5,Gaussian,reference,LGBM,3199,801,1.3140756102057574,1.5,1.5302342323919613,1.5302342323919613,algebraic,1.0,0.0,1508,0.0315723663644889,60415,0.6112897038346237,0.9173886470651695
QM9,PDV,homo_lumo_gap,4,1.5,Grouped shifted,structure-keyed,LGBM,3199,801,1.3140756102057574,1.5,1.5041104261527836,1.5041104261527836,algebraic,1.0,1.0,1508,0.0315723663644889,60415,0.6291640586957215,0.9173886470651695
QM9,PDV,homo_lumo_gap,5,0.5,Gaussian,reference,LGBM,3200,800,1.305599787788693,0.5,0.4927677661865978,0.4927677661865978,algebraic,1.0,0.0,1218,0.0753125,60505,0.843230663478087,0.8893842125858051
QM9,PDV,homo_lumo_gap,5,0.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.305599787788693,0.5,0.48104833777650413,0.48104833777650413,algebraic,1.0,1.0,1218,0.0753125,60505,0.8294989891606224,0.8893842125858051
QM9,PDV,homo_lumo_gap,5,1.0,Gaussian,reference,LGBM,3200,800,1.305599787788693,1.0,0.9903869617071732,0.9903869617071732,algebraic,1.0,0.0,1218,0.0753125,60510,0.7624240963034103,0.8893842125858051
QM9,PDV,homo_lumo_gap,5,1.0,Grouped shifted,structure-keyed,LGBM,3200,800,1.305599787788693,1.0,0.9978644638722057,0.9978644638722057,algebraic,1.0,1.0,1218,0.0753125,60510,0.6926870057337353,0.8893842125858051
QM9,PDV,homo_lumo_gap,5,1.5,Gaussian,reference,LGBM,3200,800,1.305599787788693,1.5,1.4933895556902408,1.4933895556902408,algebraic,1.0,0.0,1218,0.0753125,60515,0.5593143711738349,0.8893842125858051
QM9,PDV,homo_lumo_gap,5,1.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.305599787788693,1.5,1.538832802429868,1.538832802429868,algebraic,1.0,1.0,1218,0.0753125,60515,0.5166790912414321,0.8893842125858051
QM9,PDV,homo_lumo_gap,6,0.5,Gaussian,reference,LGBM,3119,881,1.2679742149352466,0.5,0.48700183381983575,0.48700183381983575,algebraic,1.0,0.0,1284,0.08303943571657582,60605,0.8706779954159509,0.9097090405978108
QM9,PDV,homo_lumo_gap,6,0.5,Grouped shifted,structure-keyed,LGBM,3119,881,1.2679742149352466,0.5,0.48586857769097824,0.48586857769097824,algebraic,1.0,1.0,1284,0.08303943571657582,60605,0.8838397312514812,0.9097090405978108
QM9,PDV,homo_lumo_gap,6,1.0,Gaussian,reference,LGBM,3119,881,1.2679742149352466,1.0,1.0087426087758866,1.0087426087758866,algebraic,1.0,0.0,1284,0.08303943571657582,60610,0.8019636717457168,0.9097090405978108
QM9,PDV,homo_lumo_gap,6,1.0,Grouped shifted,structure-keyed,LGBM,3119,881,1.2679742149352466,1.0,1.0156922212828603,1.0156922212828603,algebraic,1.0,1.0,1284,0.08303943571657582,60610,0.7241857599785027,0.9097090405978108
QM9,PDV,homo_lumo_gap,6,1.5,Gaussian,reference,LGBM,3119,881,1.2679742149352466,1.5,1.4789144813840622,1.4789144813840622,algebraic,1.0,0.0,1284,0.08303943571657582,60615,0.6848754411458118,0.9097090405978108
QM9,PDV,homo_lumo_gap,6,1.5,Grouped shifted,structure-keyed,LGBM,3119,881,1.2679742149352466,1.5,1.4642770201986834,1.4642770201986834,algebraic,1.0,1.0,1284,0.08303943571657582,60615,0.5687404170857313,0.9097090405978108
QM9,PDV,homo_lumo_gap,7,0.5,Gaussian,reference,LGBM,3199,801,1.249293127931134,0.5,0.4997121821141412,0.4997121821141412,algebraic,1.0,0.0,1226,0.08252578930915912,60705,0.8711578639207626,0.9075074240539769
QM9,PDV,homo_lumo_gap,7,0.5,Grouped shifted,structure-keyed,LGBM,3199,801,1.249293127931134,0.5,0.46258059661063844,0.46258059661063844,algebraic,1.0,1.0,1226,0.08252578930915912,60705,0.8597356748293163,0.9075074240539769
QM9,PDV,homo_lumo_gap,7,1.0,Gaussian,reference,LGBM,3199,801,1.249293127931134,1.0,0.9898664898824145,0.9898664898824145,algebraic,1.0,0.0,1226,0.08252578930915912,60710,0.8045313482149973,0.9075074240539769
QM9,PDV,homo_lumo_gap,7,1.0,Grouped shifted,structure-keyed,LGBM,3199,801,1.249293127931134,1.0,0.9796194947460121,0.9796194947460121,algebraic,1.0,1.0,1226,0.08252578930915912,60710,0.7723576084294319,0.9075074240539769
QM9,PDV,homo_lumo_gap,7,1.5,Gaussian,reference,LGBM,3199,801,1.249293127931134,1.5,1.4960956560847396,1.4960956560847396,algebraic,1.0,0.0,1226,0.08252578930915912,60715,0.6630661036207126,0.9075074240539769
QM9,PDV,homo_lumo_gap,7,1.5,Grouped shifted,structure-keyed,LGBM,3199,801,1.249293127931134,1.5,1.5749704432115832,1.5749704432115832,algebraic,1.0,1.0,1226,0.08252578930915912,60715,0.5210386331938304,0.9075074240539769
QM9,PDV,homo_lumo_gap,8,0.5,Gaussian,reference,LGBM,3200,800,1.3098709049150197,0.5,0.49200180877207156,0.49200180877207156,algebraic,1.0,0.0,1230,0.0746875,60805,0.8480188396982722,0.8821992236275433
QM9,PDV,homo_lumo_gap,8,0.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.3098709049150197,0.5,0.46671962449372817,0.46671962449372817,algebraic,1.0,1.0,1230,0.0746875,60805,0.8466371375253066,0.8821992236275433
QM9,PDV,homo_lumo_gap,8,1.0,Gaussian,reference,LGBM,3200,800,1.3098709049150197,1.0,0.9880759566837198,0.9880759566837198,algebraic,1.0,0.0,1230,0.0746875,60810,0.723378442865863,0.8821992236275433
QM9,PDV,homo_lumo_gap,8,1.0,Grouped shifted,structure-keyed,LGBM,3200,800,1.3098709049150197,1.0,0.9750426642436621,0.9750426642436621,algebraic,1.0,1.0,1230,0.0746875,60810,0.7081165477351008,0.8821992236275433
