model,rep,strategy,n_iterations,n_sigmas
mlp_bnn_full,mhggnn,hetero,10,11
mlp_bnn_full,mhggnn,legacy,10,11
mlp_bnn_full,mhggnn,outlier,10,11
mlp_bnn_full,mhggnn,quantile,10,11
mlp_bnn_full,mhggnn,threshold,10,11
mlp_bnn_full,mhggnn,valprop,10,11
mlp_bnn_full,mol2vec,hetero,10,11
mlp_bnn_full,mol2vec,legacy,10,11
mlp_bnn_full,mol2vec,outlier,9,11
mlp_bnn_full,mol2vec,quantile,10,11
mlp_bnn_full,mol2vec,threshold,8,11
mlp_bnn_full,mol2vec,valprop,10,11
mlp_bnn_full,pdv,hetero,10,11
mlp_bnn_full,pdv,legacy,10,11
mlp_bnn_full,pdv,outlier,10,11
mlp_bnn_full,pdv,quantile,10,11
mlp_bnn_full,pdv,threshold,10,11
mlp_bnn_full,pdv,valprop,10,11
mlp_bnn_full,smiles,hetero,10,11
mlp_bnn_full,smiles,legacy,10,11
mlp_bnn_full,smiles,outlier,10,11
mlp_bnn_full,smiles,quantile,10,11
mlp_bnn_full,smiles,threshold,10,11
mlp_bnn_full,smiles,valprop,10,11
mlp_bnn_full_variational,ecfp4,hetero,10,11
mlp_bnn_full_variational,ecfp4,legacy,10,11
mlp_bnn_full_variational,ecfp4,outlier,10,11
mlp_bnn_full_variational,ecfp4,quantile,10,11
mlp_bnn_full_variational,ecfp4,threshold,10,11
mlp_bnn_full_variational,ecfp4,valprop,10,11
mlp_bnn_full_variational,mhggnn,hetero,3,11
mlp_bnn_full_variational,mhggnn,legacy,2,11
mlp_bnn_full_variational,mhggnn,outlier,4,11
mlp_bnn_full_variational,mhggnn,quantile,3,11
mlp_bnn_full_variational,mhggnn,threshold,3,11
mlp_bnn_full_variational,mhggnn,valprop,5,11
mlp_bnn_full_variational,mol2vec,hetero,3,11
mlp_bnn_full_variational,mol2vec,legacy,1,10
mlp_bnn_full_variational,mol2vec,outlier,3,11
mlp_bnn_full_variational,mol2vec,quantile,2,11
mlp_bnn_full_variational,mol2vec,threshold,4,11
mlp_bnn_full_variational,mol2vec,valprop,3,11
mlp_bnn_full_variational,pdv,hetero,10,11
mlp_bnn_full_variational,pdv,legacy,10,11
mlp_bnn_full_variational,pdv,outlier,10,11
mlp_bnn_full_variational,pdv,quantile,10,11
mlp_bnn_full_variational,pdv,threshold,10,11
mlp_bnn_full_variational,pdv,valprop,10,11
mlp_bnn_full_variational,smiles,hetero,10,11
mlp_bnn_full_variational,smiles,legacy,10,11
mlp_bnn_full_variational,smiles,outlier,10,11
mlp_bnn_full_variational,smiles,quantile,10,11
mlp_bnn_full_variational,smiles,threshold,10,11
mlp_bnn_full_variational,smiles,valprop,10,11
mlp_bnn_last,ecfp4,hetero,10,11
mlp_bnn_last,ecfp4,legacy,10,11
mlp_bnn_last,ecfp4,outlier,10,11
mlp_bnn_last,ecfp4,quantile,10,11
mlp_bnn_last,ecfp4,threshold,10,11
mlp_bnn_last,ecfp4,valprop,10,11
mlp_bnn_last,mhggnn,hetero,10,11
mlp_bnn_last,mhggnn,legacy,10,11
mlp_bnn_last,mhggnn,outlier,10,11
mlp_bnn_last,mhggnn,quantile,10,11
mlp_bnn_last,mhggnn,threshold,10,11
mlp_bnn_last,mhggnn,valprop,10,11
mlp_bnn_last,mol2vec,hetero,10,11
mlp_bnn_last,mol2vec,legacy,10,11
mlp_bnn_last,mol2vec,outlier,10,11
mlp_bnn_last,mol2vec,quantile,10,11
mlp_bnn_last,mol2vec,threshold,10,11
mlp_bnn_last,mol2vec,valprop,10,11
mlp_bnn_last,pdv,hetero,10,11
mlp_bnn_last,pdv,legacy,10,11
mlp_bnn_last,pdv,outlier,10,11
mlp_bnn_last,pdv,quantile,10,11
mlp_bnn_last,pdv,threshold,10,11
mlp_bnn_last,pdv,valprop,10,11
mlp_bnn_last,smiles,hetero,10,11
mlp_bnn_last,smiles,legacy,10,11
mlp_bnn_last,smiles,outlier,10,11
mlp_bnn_last,smiles,quantile,10,11
mlp_bnn_last,smiles,threshold,10,11
mlp_bnn_last,smiles,valprop,10,11
mlp_bnn_variational,ecfp4,hetero,10,11
mlp_bnn_variational,ecfp4,legacy,10,11
mlp_bnn_variational,ecfp4,outlier,10,11
mlp_bnn_variational,ecfp4,quantile,10,11
mlp_bnn_variational,ecfp4,threshold,10,11
mlp_bnn_variational,ecfp4,valprop,10,11
mlp_bnn_variational,mhggnn,hetero,10,11
mlp_bnn_variational,mhggnn,legacy,10,11
mlp_bnn_variational,mhggnn,outlier,9,11
mlp_bnn_variational,mhggnn,quantile,9,11
mlp_bnn_variational,mhggnn,threshold,10,11
