kind,level,type,rep,model,dose,r2,base
noise,0.3,Student-t nu=3,0,LGBM,0.30356905565879766,0.8969714703908737,0.9212422032916183
noise,0.3,Student-t nu=3,0,Ridge,0.30356905565879766,0.8910986819252791,0.8973697977890748
noise,0.3,Student-t nu=3,1,RF,0.2841765732716391,0.9160620584059015,0.9194864335571435
noise,0.3,Student-t nu=3,1,LGBM,0.2841765732716391,0.9130790520093175,0.9212422032916183
noise,0.3,Student-t nu=3,1,Ridge,0.2841765732716391,0.8984087517707324,0.8973697977890748
noise,0.3,Student-t nu=3,2,RF,0.29383045278045083,0.911666946750961,0.9194864335571435
noise,0.3,Student-t nu=3,2,LGBM,0.29383045278045083,0.8982470218944304,0.9212422032916183
noise,0.3,Student-t nu=3,2,Ridge,0.29383045278045083,0.8948965535317488,0.8973697977890748
noise,0.3,Grouped,0,RF,0.29645416052001705,0.9062128445818508,0.9194864335571435
noise,0.3,Grouped,0,LGBM,0.29645416052001705,0.8964607138623553,0.9212422032916183
noise,0.3,Grouped,0,Ridge,0.29645416052001705,0.8911845903029365,0.8973697977890748
noise,0.3,Grouped,1,RF,0.29344739859926566,0.9102686165714682,0.9194864335571435
noise,0.3,Grouped,1,LGBM,0.29344739859926566,0.8994211404003403,0.9212422032916183
noise,0.3,Grouped,1,Ridge,0.29344739859926566,0.8905761730074863,0.8973697977890748
noise,0.3,Grouped,2,RF,0.29169655270197625,0.9054071199068636,0.9194864335571435
noise,0.3,Grouped,2,LGBM,0.29169655270197625,0.8867476003876301,0.9212422032916183
noise,0.3,Grouped,2,Ridge,0.29169655270197625,0.8855323878295829,0.8973697977890748
noise,0.3,Outlier p=0.05,0,RF,0.30287893965857415,0.913923290898139,0.9194864335571435
noise,0.3,Outlier p=0.05,0,LGBM,0.30287893965857415,0.9059140558581269,0.9212422032916183
noise,0.3,Outlier p=0.05,0,Ridge,0.30287893965857415,0.89468411157765,0.8973697977890748
noise,0.3,Outlier p=0.05,1,RF,0.3067640355724982,0.9176100017555224,0.9194864335571435
noise,0.3,Outlier p=0.05,1,LGBM,0.3067640355724982,0.9004279813778359,0.9212422032916183
noise,0.3,Outlier p=0.05,1,Ridge,0.3067640355724982,0.8999487603841032,0.8973697977890748
noise,0.3,Outlier p=0.05,2,RF,0.29845021740645683,0.9100113604008233,0.9194864335571435
noise,0.3,Outlier p=0.05,2,LGBM,0.29845021740645683,0.9073297845011754,0.9212422032916183
noise,0.3,Outlier p=0.05,2,Ridge,0.29845021740645683,0.8945508043168869,0.8973697977890748
noise,0.5,Gaussian,0,RF,0.49720385835029524,0.9018164312337407,0.9194864335571435
noise,0.5,Gaussian,0,LGBM,0.49720385835029524,0.8681480015026449,0.9212422032916183
noise,0.5,Gaussian,0,Ridge,0.49720385835029524,0.8810409529120358,0.8973697977890748
noise,0.5,Gaussian,1,RF,0.4957818740449968,0.8925363524955207,0.9194864335571435
noise,0.5,Gaussian,1,LGBM,0.4957818740449968,0.8676099618399633,0.9212422032916183
noise,0.5,Gaussian,1,Ridge,0.4957818740449968,0.8889377178400427,0.8973697977890748
noise,0.5,Gaussian,2,RF,0.48967995367912115,0.886470831844199,0.9194864335571435
noise,0.5,Gaussian,2,LGBM,0.48967995367912115,0.8721799556822507,0.9212422032916183
noise,0.5,Gaussian,2,Ridge,0.48967995367912115,0.8955302419897736,0.8973697977890748
noise,0.5,Student-t nu=3,0,RF,0.5059484260979962,0.874855509858323,0.9194864335571435
noise,0.5,Student-t nu=3,0,LGBM,0.5059484260979962,0.8590280352538243,0.9212422032916183
noise,0.5,Student-t nu=3,0,Ridge,0.5059484260979962,0.8802742236350883,0.8973697977890748
noise,0.5,Student-t nu=3,1,RF,0.47362762211939846,0.908133606188064,0.9194864335571435
noise,0.5,Student-t nu=3,1,LGBM,0.47362762211939846,0.8911756332553186,0.9212422032916183
noise,0.5,Student-t nu=3,1,Ridge,0.47362762211939846,0.8916717553251655,0.8973697977890748
noise,0.5,Student-t nu=3,2,RF,0.4897174213007514,0.8990533688187172,0.9194864335571435
noise,0.5,Student-t nu=3,2,LGBM,0.4897174213007514,0.8810753565290145,0.9212422032916183
